id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
73-19123,36,0,36,1652312750,14757836,73
73-19124,88,0,88,1652398524,14763993,73
73-19125,106,0,106,1652478132,14769847,73
73-19126,114,0,114,1652565060,14776112,73
74-19124,0,45,45,1652398638,14763998,74
74-19125,2,46,48,1652466532,14768969,74
74-19126,2,51,56,1652565369,14776132,74
74-19127,3,58,64,1652638845,14781491,74
75-19126,55,0,57,1652565437,14776141,75
75-19127,66,0,68,1652644766,14781935,75
75-19128,82,1,85,1652737873,14788709,75
75-19129,120,1,123,1652757753,14790131,75
77-19131,4,0,4,1653004633,14807895,77
77-19132,87,0,88,1653088910,14813897,77
77-19133,90,0,91,1653170266,14819698,77
77-19134,91,0,92,1653181044,14820467,77
78-19131,2,0,2,1653001167,14807643,78
78-19132,5,3,8,1653085577,14813655,78
78-19133,5,45,80,1653146034,14817961,78
81-19133,0,0,1,1653108668,14815318,81
81-19134,51,48,100,1653262950,14826276,81
81-19135,54,81,136,1653348553,14832408,81
81-19136,54,83,138,1653366640,14833708,81
8-18897,1,0,1,1632779986,13310415,8
8-18898,7,0,7,1632863535,13316579,8
8-18899,20,0,20,1632942034,13322441,8
82-19134,43,0,43,1653260376,14826101,82
82-19135,97,21,119,1653341256,14831902,82
82-19136,115,22,138,1653419107,14837377,82
83-19134,9,0,9,1653260307,14826097,83
83-19135,79,0,79,1653348608,14832411,83
83-19136,127,0,127,1653433434,14838440,83
83-19137,127,0,129,1653441175,14838959,83
84-19140,6,0,6,1653778525,14862994,84
84-19141,58,2,60,1653864196,14869099,84
84-19142,67,2,79,1653948944,14875112,84
84-19143,91,2,103,1654030814,14880913,84
85-19140,5,0,5,1653780104,14863106,85
85-19141,59,0,59,1653864361,14869111,85
85-19142,63,0,63,1653950884,14875243,85
85-19143,99,1,100,1654032589,14881035,85
85-19144,129,1,130,1654045185,14881919,85
86-19142,0,2,3,1653948944,14875112,86
86-19143,0,18,42,1654033016,14881068,86
86-19144,2,18,97,1654127770,14887775,86
87-19144,31,0,31,1654120477,14887258,87
87-19145,90,0,90,1654214225,14893936,87
87-19146,134,0,134,1654287837,14899161,87
89-19150,3,8,11,1654635672,14922910,89
89-19151,24,20,44,1654731195,14929454,89
89-19152,39,88,129,1654816774,14935208,89
89-19153,39,89,130,1654822411,14935602,89
90-19152,62,0,63,1654791610,14933533,90
90-19153,103,1,105,1654902751,14941062,90
90-19154,127,1,129,1654968906,14945522,90
90-19155,132,1,134,1655036321,14950080,90
91-19153,86,0,86,1654904585,14941193,91
91-19154,115,0,115,1654977606,14946116,91
91-19155,121,0,121,1655055378,14951412,91
91-19156,123,0,123,1655098398,14954307,91
9-18901,2,0,2,1633125209,13335999,9
9-18902,5,0,5,1633215879,13342726,9
9-18903,13,0,13,1633279811,13347408,9
9-18904,23,0,23,1633361816,13353425,9
92-19153,83,1,84,1654904657,14941197,92
92-19154,113,1,114,1654969016,14945530,92
92-19155,119,1,120,1655055510,14951422,92
92-19156,126,1,127,1655091138,14953820,92
93-19154,21,0,23,1654969034,14945532,93
93-19155,25,0,27,1655069704,14952399,93
93-19156,57,9,68,1655153677,14958041,93
93-19157,63,52,118,1655191531,14960555,93
94-19154,1,0,1,1654940599,14943580,94
94-19155,16,0,16,1655069947,14952414,94
94-19156,18,30,48,1655141080,14957177,94
94-19157,52,33,85,1655223836,14962642,94
95-19156,41,0,41,1655148636,14957703,95
95-19157,109,0,109,1655242849,14964003,95
95-19158,117,0,117,1655322126,14969273,95
95-19159,139,0,139,1655369379,14972424,95
97-19164,13,2,15,1655849811,15004496,97
97-19165,80,4,90,1655936294,15009824,97
98-19166,3,0,3,1656026487,15015384,98
98-19167,5,0,5,1656098665,15019857,98
98-19169,42,0,48,1656253143,15029393,98
99-19168,2,1,3,1656192872,15025685,99
99-19169,12,1,13,1656283160,15031254,99
99-19170,32,2,34,1656364619,15036338,99
99-19171,77,2,79,1656434848,15040637,99
